Probabilities,Labels
0.932368,1.0
0.60119534,1.0
0.9964424,1.0
0.9962542,1.0
0.11420945,1.0
0.9964405,1.0
0.99644274,1.0
0.99643975,1.0
0.99642617,1.0
0.99640733,1.0
0.9964384,1.0
0.9478363,1.0
0.9961643,1.0
0.99643743,1.0
0.9964438,1.0
0.9963076,1.0
0.99643815,1.0
0.9956136,1.0
0.99639434,1.0
0.9964443,1.0
0.24696478,1.0
0.99644476,1.0
0.99639004,1.0
0.037464723,1.0
0.99294513,1.0
0.9964347,1.0
0.9964366,1.0
0.99643815,1.0
0.99644357,1.0
0.99643964,1.0
0.55560446,1.0
0.99639267,1.0
0.9961488,1.0
0.99626094,1.0
0.012967145,1.0
0.99554354,1.0
0.9280879,1.0
0.9929883,1.0
0.99369,1.0
0.9964328,1.0
0.5147957,1.0
0.9964309,1.0
0.99643046,1.0
0.9964449,1.0
0.99641585,1.0
0.9964245,1.0
0.9964449,1.0
0.027939826,1.0
0.99644357,1.0
0.9577719,1.0
0.99619126,1.0
0.99637187,1.0
0.9956411,1.0
0.996402,1.0
0.99507797,1.0
0.0131077925,1.0
0.9964419,1.0
0.070754446,1.0
0.9964342,1.0
0.7135916,1.0
0.9961713,1.0
0.6439441,1.0
0.9963672,1.0
0.9473211,1.0
0.91809404,1.0
0.9963243,1.0
0.9964335,1.0
0.9964371,1.0
0.9964077,1.0
0.9964386,1.0
0.9963654,1.0
0.8757878,1.0
0.99644524,1.0
0.013079731,1.0
0.99142116,1.0
0.9964456,1.0
0.9964419,1.0
0.74340665,1.0
0.97256166,1.0
0.99640685,1.0
0.9942458,1.0
0.9964432,1.0
0.9929919,1.0
0.99274445,1.0
0.99625254,1.0
0.99570036,1.0
0.99642617,1.0
0.9964424,1.0
0.99638015,1.0
0.99644405,1.0
0.9964425,1.0
0.64306784,1.0
0.9962547,1.0
0.99616987,1.0
0.9699223,1.0
0.9964438,1.0
0.99644,1.0
0.8556817,1.0
0.98515236,1.0
0.9964412,1.0
0.9964224,1.0
0.9940626,1.0
0.9964418,1.0
0.96913165,1.0
0.9924049,1.0
0.987938,1.0
0.9938112,1.0
0.9511523,1.0
0.99635845,1.0
0.9951633,1.0
0.9917429,1.0
0.99176496,1.0
0.996427,1.0
0.08279224,1.0
0.9949759,1.0
0.89629275,1.0
0.9964443,1.0
0.99643445,1.0
0.9919441,1.0
0.99644524,1.0
0.9934081,1.0
0.9964449,1.0
0.24376638,1.0
0.9914464,1.0
0.22553526,1.0
0.9963815,1.0
0.9896404,1.0
0.996381,1.0
0.99644274,1.0
0.99644357,1.0
0.7858624,1.0
0.9962529,1.0
0.9963983,1.0
0.9961558,1.0
0.9884304,1.0
0.99619734,1.0
0.9964418,1.0
0.99630046,1.0
0.99644333,1.0
0.9890282,1.0
0.99643195,1.0
0.60082006,1.0
0.9964361,1.0
0.9964424,1.0
0.9964431,1.0
0.99644464,1.0
0.99643743,1.0
0.996385,1.0
0.9942273,1.0
0.9964426,1.0
0.996384,1.0
0.99547654,1.0
0.99636346,1.0
0.95583034,1.0
0.8254174,1.0
0.99644226,1.0
0.99644226,1.0
0.996445,1.0
0.9964431,1.0
0.013759134,1.0
0.99644417,1.0
0.99644405,1.0
0.9952049,1.0
0.9961398,1.0
0.9810978,1.0
0.99644333,1.0
0.88236326,1.0
0.1123687,1.0
0.9964264,1.0
0.9964031,1.0
0.013009704,1.0
0.91951907,1.0
0.996393,1.0
0.9964226,1.0
0.99644417,1.0
0.9963169,1.0
0.9949909,1.0
0.9964444,1.0
0.9963819,1.0
0.31610933,1.0
0.9964457,1.0
0.6923138,1.0
0.96129674,1.0
0.9903206,1.0
0.99644107,1.0
0.9964419,1.0
0.78127927,1.0
0.9957163,1.0
0.9953767,1.0
0.3113081,1.0
0.9964294,1.0
0.9963439,1.0
0.9964413,1.0
0.9964457,1.0
0.9960574,1.0
0.9963941,1.0
0.9884941,1.0
0.9964438,1.0
0.98284733,1.0
0.03836884,1.0
0.015090903,0.0
0.04202127,0.0
0.013215482,0.0
0.013185531,0.0
0.5684682,0.0
0.013081227,0.0
0.17714308,0.0
0.0139594255,0.0
0.013017922,0.0
0.013266369,0.0
0.013091783,0.0
0.19223996,0.0
0.35612777,0.0
0.012973463,0.0
0.028669082,0.0
0.013092165,0.0
0.013114154,0.0
0.8951601,0.0
0.013085452,0.0
0.016369702,0.0
0.045378283,0.0
0.19198388,0.0
0.12558606,0.0
0.013097255,0.0
0.013347836,0.0
0.018663334,0.0
0.013086429,0.0
0.013040531,0.0
0.014527399,0.0
0.013082465,0.0
0.013081277,0.0
0.20974857,0.0
0.021304633,0.0
0.013311125,0.0
0.013199529,0.0
0.013111507,0.0
0.013490448,0.0
0.013084626,0.0
0.09918958,0.0
0.013303123,0.0
0.013179079,0.0
0.013239973,0.0
0.034304675,0.0
0.21005642,0.0
0.013186604,0.0
0.89690816,0.0
0.040458024,0.0
0.025921341,0.0
0.022455813,0.0
0.761291,0.0
0.8096827,0.0
0.021005936,0.0
0.0130891455,0.0
0.39016476,0.0
0.12467598,0.0
0.013644765,0.0
0.44537863,0.0
0.013395263,0.0
0.09754728,0.0
0.0132861845,0.0
0.016873555,0.0
0.037177473,0.0
0.0131154,0.0
0.27408442,0.0
0.013212778,0.0
0.032191325,0.0
0.033137653,0.0
0.120349154,0.0
0.013084694,0.0
0.01307783,0.0
0.013080724,0.0
0.013137855,0.0
0.0130875325,0.0
0.014796185,0.0
0.014577015,0.0
0.0131445695,0.0
0.013704861,0.0
0.9296642,0.0
0.013958435,0.0
0.013524093,0.0
0.01382451,0.0
0.015121698,0.0
0.018088376,0.0
0.04160576,0.0
0.013132601,0.0
0.086475894,0.0
0.06155492,0.0
0.14880954,0.0
0.013150075,0.0
0.0134773515,0.0
0.7756291,0.0
0.013169757,0.0
0.09549865,0.0
0.020985665,0.0
0.013519965,0.0
0.0130833015,0.0
0.5236237,0.0
0.013158692,0.0
0.7882498,0.0
0.3267434,0.0
0.013084915,0.0
0.013869796,0.0
0.01856647,0.0
0.05692792,0.0
0.0130888205,0.0
0.27908787,0.0
0.013083898,0.0
0.451086,0.0
0.013422527,0.0
0.8535085,0.0
0.45522773,0.0
0.013130519,0.0
0.7306314,0.0
0.013137347,0.0
0.014022791,0.0
0.59953165,0.0
0.6965359,0.0
0.016187867,0.0
0.77913296,0.0
0.013084085,0.0
0.013174472,0.0
0.013086812,0.0
0.0136166215,0.0
0.03218807,0.0
0.013134258,0.0
0.0193642,0.0
0.013091013,0.0
0.80247444,0.0
0.013082934,0.0
0.013091642,0.0
0.050766062,0.0
0.012973665,0.0
0.0130807655,0.0
0.9964449,0.0
0.04180402,0.0
0.1849361,0.0
0.01290294,0.0
0.017693484,0.0
0.090550035,0.0
0.96020794,0.0
0.33200175,0.0
0.9951988,0.0
0.01329654,0.0
0.014608894,0.0
0.013108174,0.0
0.014643901,0.0
0.027298259,0.0
0.8917664,0.0
0.01762538,0.0
0.013082963,0.0
0.9768883,0.0
0.964178,0.0
0.2550155,0.0
0.03240199,0.0
0.013090244,0.0
0.014357578,0.0
0.018186951,0.0
0.079318374,0.0
0.17914414,0.0
0.013144526,0.0
0.013596692,0.0
0.013084719,0.0
0.39731655,0.0
0.045303233,0.0
0.013085426,0.0
0.0127950115,0.0
0.013085347,0.0
0.02113614,0.0
0.013081591,0.0
0.36837026,0.0
0.90426403,0.0
0.013095111,0.0
0.0133150015,0.0
0.013080496,0.0
0.05358678,0.0
0.013085488,0.0
0.0130981915,0.0
0.43484026,0.0
0.0135037815,0.0
0.012848209,0.0
0.013133112,0.0
0.01309458,0.0
0.013147818,0.0
0.0130918585,0.0
0.013081068,0.0
0.9144162,0.0
0.013080875,0.0
0.2076671,0.0
0.9392079,0.0
0.013376585,0.0
0.64035773,0.0
0.03973148,0.0
0.013266652,0.0
0.016445538,0.0
0.013507353,0.0
0.013128583,0.0
0.013086062,0.0
0.013093854,0.0
0.013190693,0.0
0.08736658,0.0
